Date,Timefile,Time,Frame,Size (cm),Direction,Notes
June 19,18:10,18:19:56,2836/2853,51,↻,
June 19,18:10,18:19:56,2836/2853,,↻,
June 19,19:50,19:56:12,-1000/0000,30-50,DS,*
June 19,19:40,19:40:13,52/2846,40,DS,
June 19,19:40,19:40:13,245/2846,58,DS,
June 19,19:40,19:40:13,245/2846,61,DS,
June 19,19:40,19:40:13,245/2846,43,DS,
June 19,19:40,19:40:13,245/2846,38,DS,
June 19,19:40,19:40:13,245/2846,41,DS,
June 19,19:40,19:40:13,245/2846,41,DS,
June 19,19:40,19:40:13,245/2846,65,DS,
June 19,19:40,19:40:13,245/2846,49,DS,
June 19,19:40,19:40:54,245/2846,43,up,
June 19,19:40,19:40:54,245/2846,57,up,
June 19,19:40,19:40:54,245/2846,38,up,
June 19,19:40,19:40:54,245/2846,54,up,
June 19,19:40,19:40:54,245/2846,"""+ 2 small sockeye",up,
June 19,19:40,19:41:56,541/2946,49,up,
June 19,19:40,19:41:56,541/2946,50,up,
June 19,19:40,19:41:56,541/2946,46,up,
June 19,19:40,19:41:56,541/2946,,up,
June 20,07:40,07:41:47,505/2833,40,up,
June 20,07:40,07:41:47,505/2833,51,up,
June 20,07:40,07:41:47,505/2833,50,up,
June 20,07:40,07:41:47,505/2833,55,up,
June 20,07:40,07:41:47,505/2833,48,up,
June 20,07:40,07:41:47,505/2833,41,up,
June 20,07:40,07:41:47,505/2833,41,up,
June 20,09:40,09:42:52,805/2824,40,up,
June 20,09:40,09:42:52,805/2824,38,up,
June 20,09:40,09:42:52,805/2824,54,up,
June 20,10:20,-1000/0000,,~30-50 cm,up,*
June 20,10:40,-1000/0000,,30-50 cm,up,*
June 20,10:40,10:49:40,2741/2832,57,up,
June 20,11:20,11:21:38,455/2814,64,up,
June 20,14:30,14:30:08,30/2845,5 fish 30-50,up,*
June 20,14:30,14:34:04,1156/2845,108,up,
June 20,14:20,14:29:49,2803/2853,51,DS,
June 20,14:20,14:29:49,2803/2853,54,up,
June 20,14:20,14:29:49,2803/2853,58,up,
